mfgtxt,this_year,last_year,campaigns_this_year,recalled_this_year,campaigns_last_year,recalled_last_year,yoy_percent,campaigns_last_year_total,recalled_last_year_total
Chrysler (FCA US LLC),2019,2018.0,27,3889835.0,25,6351677.0,-39.0,43,7857426.0
Ford Motor Company,2019,2018.0,37,3788131.0,17,2031493.0,86.0,33,5936677.0
Honda (American Honda Motor Co.),2019,2018.0,11,2256221.0,9,979897.0,130.0,22,2808036.0
"Subaru of America, Inc.",2019,2018.0,7,2140858.0,3,229538.0,833.0,9,726032.0
Toyota Motor Corporation,2019,2018.0,7,1353642.0,11,896048.0,51.0,26,2689831.0
"BMW of North America, LLC",2019,2018.0,13,559968.0,10,149708.0,274.0,25,223113.0
Kia Motors America,2019,2018.0,4,505849.0,4,642754.0,-21.0,9,759299.0
General Motors LLC,2019,2018.0,9,484976.0,14,1196507.0,-59.0,27,2908966.0
"Mercedes-Benz USA, LLC.",2019,2018.0,6,312492.0,11,311945.0,0.0,39,478429.0
"Volkswagen Group of America, Inc.",2019,2018.0,12,281161.0,19,1414685.0,-80.0,35,1608528.0
Mazda Motor Corp.,2019,2018.0,4,268605.0,7,347485.0,-23.0,11,554173.0
"Porsche Cars North America, Inc.",2019,2018.0,8,162067.0,3,1023.0,15742.0,7,19359.0
Hyundai Motor America,2019,2018.0,3,148925.0,6,722015.0,-79.0,11,894915.0
"Tesla, Inc.",2019,2018.0,1,68673.0,2,88267.0,-22.0,2,88267.0
"Suzuki Motor of America, Inc.",2019,2018.0,4,55294.0,2,8883.0,522.0,7,56042.0
LAND ROVER,2019,2018.0,3,47444.0,6,28471.0,67.0,7,28557.0
"Mitsubishi Motors North America, Inc.",2019,2018.0,1,26016.0,5,543819.0,-95.0,8,626692.0
JAGUAR CARS LTD,2019,2018.0,3,10586.0,6,38880.0,-73.0,6,38880.0
"Nissan North America, Inc.",2019,2018.0,2,6118.0,7,207687.0,-97.0,14,1028933.0
Lotus Cars Limited,2019,,1,425.0,0,0.0,100.0,0,0.0
